Refereed Publications,Project,semantic_scholar_url
"Alcon, F., Tapsuwan, S., Brouwer, R., Yunes, M., Mounzer, O. and de-Miguel, M.D. (2019). Modelling farmer choices for water security measures in the Litana river basin in Lebanon. Science of the Total Environment, 647: 37-46. https://doi.org/10.1016/j.scitotenv.2018.07.410.",AWF,https://www.semanticscholar.org/paper/df8677e5af708034d69949cf98a5baa406ea12a1
"Armstrong, R., Pomeroy, J.W. and Martz, L. (2019). Spatial variability of mean daily estimates of actual evaporation from remotely sensed imagery and surface reference data. Hydrology and Earth System Sciences, 23(12): 4891-4907. doi:10.5194/hess-23-4891-2019.",AWF,https://www.semanticscholar.org/paper/5a7740b19a49e28b4fe65a224c67bc54edec1ec4
"Brouwer, R. and Tarfasa, S. (2020). Testing hypothetical bias in a framed field experiment. Canadian Journal of Agricultural Economics. doi:10.1111/cjag.12224.",AWF,https://www.semanticscholar.org/paper/6f5f927463b508c837cf2927c8a503e5ade09175
"Casson, N.J., Wilson, H.F. and Higgins, S.M. (2019). Hydrological and seasonal controls of phosphorus in northern Great Plains agricultural streams. Journal of Environmental Quality, 48:978¢987. doi:10.2134/jeq2018.07.0281.",AWF,https://www.semanticscholar.org/paper/eb8588129eac532fc7253d1cc8c7976923e16cdb
"Costa, D., Liu J., Roste, J. and Elliott, J. (2019). Temporal dynamics of snowmelt nutrient release from snow¢plant residue mixtures: An experimental analysis and mathematical model development. Journal of Environmental Quality, 48:869¢879. doi:10.2134/jeq2018.12.0440.",AWF,https://www.semanticscholar.org/paper/cc2b83fb4aefbeaa6ea41af234832caf74cefce0
"Costa, D., Pomeroy, J., Baulch, H., Elliott, J. and Wheater, H. (2019). Investigating the dominant climate, soil, and human controls on snowmelt nutrient export in agricultural regions: development and testing of an inverse modelling approach with equifinality control. Hydrological Processes, 33:2958-2977. doi:10.1002/hyp.13463.",AWF,https://www.semanticscholar.org/paper/bac31808aa57418e0cf11b6de088a30a30196caa
"Costa, D., Pomeroy, J., Baulch, H., Elliott, J. and Wheater, H. (2019). Modelling nutrient dynamics in cold agricultural catchments: a review. Environmental Modelling and Software. doi:10.1016/j.envsoft.2019.104586.",AWF,https://www.semanticscholar.org/paper/0496fffa6fe647710d7ab3e2f082b8b4b8ac6e63
"Costa, D., Pomeroy, J., Baulch, H., Elliott, J. and Wheater, H. (2019). Using an inverse modelling approach with equifinality control to investigate the dominant controls on snowmelt nutrient export. Hydrological Processes, 33(23): 2958¢ 2977. https://doi.org/10.1002/hyp.13463.",AWF,https://www.semanticscholar.org/paper/bac31808aa57418e0cf11b6de088a30a30196caa
"Costa D., Sexstone G.A., Pomeroy J.W., Campbell D.H., Clow D.W. and Mast, A. (2019). Preferential elution of ionic solutes in melting snowpacks: Improving process understanding through field observations and modeling in the Rocky Mountains. Sci Total Environ. doi:10.1016/j.scitotenv.2019.136273. doi: 10.1016/j.envsoft.2019.104586",AWF,https://www.semanticscholar.org/paper/8fcfa4a49a51926b261cfb3c41a6764393ca073c
"Hanrahan, B.R., King, K.W., Macrae, M.L., Williams, M.R. and Stinner, J.H. (2020). Among-site variability in environmental and management characteristics: effect on nutrient loading in agricultural tile drainage. Journal of Great Lakes Research (in press).",AWF,https://www.semanticscholar.org/paper/4342f82a641a9d256b09155b37155916c395fa13
"Irvine, C., Macrae, M.L., Morison, M.Q., and Petrone, R.M. (2019). Seasonal nutrient export dynamics in a mixed land use subwatershed of the Grand River, Ontario, Canada. Journal of Great Lakes Research. doi.org/10.1016/j.jglr.2019.10.005.",AWF,https://www.semanticscholar.org/paper/5f870ace1a166abbc77217d4218d6df9e5dbfd3b
"Kokulan, V., Macrae, M.L., Lobb, D.A. and Ali, G.A. (2019). Contribution of overland and tile flow to runoff and nutrient losses from Vertisols in Manitoba. Journal of Environmental Quality, 48: 4: 959-965. doi:10.2134/jeq2019.03.0103.",AWF,https://www.semanticscholar.org/paper/830f6786e6c4cb599b2a6998b2f85199b4a51030
"L. Du, Xu, L., Li, Y., Liu, C., Li, Z., Wong, J., Lei, B. (2019). China's agricultural irrigation and water conservancy projects during reforms and transformation: A policy synthesis and discussion of emerging issues. Sustainability, 11(24), 7027",AWF,https://www.semanticscholar.org/paper/dfce7a052f933d2c1e54fd28aaec9219e1909031
"Liu, J., Baulch, H.M., Macrae, M.L., Wilson, H.F., Elliott, J.A., Bergstr¶m, L., Glenn, A.J. and Vadas, P.A. (2019). Agricultural water quality in cold climates: Processes, drivers, management options, and research needs. Journal of Environmental Quality, 48(4):792¢802. doi:10.2134/jeq2019.05.0220.",AWF,https://www.semanticscholar.org/paper/dc15e949577d1e13647be1ee65e106ea0d6165e8
"Liu, J., Elliott, J.A., Wilson, H.F. and Baulch, H.M. (2019). Impacts of soil phosphorus drawdown on snowmelt and rainfall runoff water quality. Journal of Environmental Quality, 48(4):803¢812. doi:10.2134/jeq2018.12.0437.",AWF,https://www.semanticscholar.org/paper/1bf2edd8cf95b5ef78559a004c329be85792ec15
"Liu, J., Macrae, M.L., Elliott, J.A., Baulch, H.M., Wilson, H.F. and Kleinman, P.J.A. (2019). Impacts of cover crops and crop residues on phosphorus losses in cold climates: A review. Journal of Environmental Quality, 48(4):850¢868. doi:10.2134/jeq2019.03.0119.",AWF,https://www.semanticscholar.org/paper/37b2bdd8cd449efee1365cb309adbe9661868e78
"Lv, Z., Pomeroy, J.W. and Fang, X. (2019). Evaluation of SNODAS SnowWater Equivalent in Western Canada and Assimilation into a Cold Region Hydrological Model. Water Resources Research, 55, 11166-11187. https://doi.org/10.1029/2019WR025333.",AWF,https://www.semanticscholar.org/paper/b086a00e73253af771ea438be0089533b1d81947
"Macrae, M.L., Ali, G.A., King, K.W., Plach, J., Pluer, W.T., Williams, M., Morison, M.Q., and Tang, W.V. (2019). Evaluating hydrologic response in tile drained landscapes: Implications for phosphorus transport. Journal of Environmental Quality, 48(5): 1347-1355. doi:10.2134/jeq2019.02.0060.",AWF,https://www.semanticscholar.org/paper/24f1fbaf373fdced71eee68591859d60821af0e6
"Meinen, B.U. and Robinson, D.T. (2020). Mapping erosion and deposition in an agricultural landscape: Optimization of UAV image acquisition schemes for SfM-MVS. Remote Sensing of Environment, 239:, 111666. Doi:10.1016/j.rse.2020.111666",AWF,https://www.semanticscholar.org/paper/b818f63e0053931fff22d6923eee3ec67eda4846
"Plach, J.M., Pluer, W., Macrae, M.L., Kompanizare, M., McKague, K., Carlow, R. and Brunke, R. (2019) Agricultural edge-of-field phosphorus losses in Ontario, Canada: Importance of the Nongrowing Season in Cold Regions. Journal of Environmental Quality, 48 (4): 813-821. doi:10.2134/jeq2018.11.0418.",AWF,https://www.semanticscholar.org/paper/a4f72ea899cf8f03715d688dcbd5d78d688dca93
"Satchithanantham, S., English, B. and Wilson, H. (2019). Seasonality of phosphorus and nitrate retention in riparian buffers. Journal of Environmental Quality, 48:915¢920. doi:10.2134/jeq2018.07.0280.",AWF,https://www.semanticscholar.org/paper/057f5d14d780121d6987a93a302deaaf9b2072cc
"Schneider, K.D., McConkey, B.G., Thiagarajan, A., Elliott, J.A. and Reid, D.K. (2019). Nutrient loss in snowmelt runoff: Results from a long-term study in a dryland cropping system. Journal of Environmental Quality, 48(4):831¢840. doi:10.2134/jeq2018.12.0448.",AWF,https://www.semanticscholar.org/paper/8f137f6428e565bfd8140f077d19138b11248598
"Smith, D.A., Macrae, M.L., Kleinman, P.J.A., Jarvie, H.P., Bryant, R.B., and King, K.W. (2019) The latitudes, attitudes and platitudes of watershed phosphorus management in North America. Journal of Environmental Quality, 48(5): 1176-1190.",AWF,https://www.semanticscholar.org/paper/228cef1970fc35cfef0c0a8d25c55db8764fd692
"Whitfield, P.H. and Shook, K.R. (2020). Changes to rainfall, snowfall, and runoff events during the autumn¢winter transition in the Rocky Mountains of North America. Canadian Water Resources Journal/Revue canadienne des ressources hydriques, 45 (1): 28-42.",AWF,https://www.semanticscholar.org/paper/ab1c8221228fbc653137a09ebc4f2064949c9e21
"Whitfield, P.H., Shook, K.R., and Pomeroy, J.W. (2020). Spatial Patterns of Temporal Changes in Canadian Prairie Streamflow using an alternative trend assessment approach. Journal of Hydrology, 582:124541. https://doi.org/10.1016/j.jhydrol.2020.124541.",AWF,https://www.semanticscholar.org/paper/90e64de796b5acc1c236523c4b105f13a9f9af10
"Wilson, H.F., Casson, N.J., Glenn, A.J., Badiou, P. and Boychuk, L. (2019). Landscape controls on nutrient export during snowmelt and an extreme rainfall runoff event in northern agricultural watersheds. Journal of Environmental Quality, 48(4):841¢849. doi:10.2134/jeq2018.07.0278.",AWF,https://www.semanticscholar.org/paper/76c37111609108bd792e75e1a1ed4a395aca9310
"Wilson, H., Elliott, J., Macrae, M. and Glenn, A. (2019). Near-surface soils as a source of phosphorus in snowmelt runoff from cropland. Journal of Environmental Quality, 48(4):921¢930. doi:10.2134/jeq2019.04.0155.",AWF,https://www.semanticscholar.org/paper/6aba5d0eda970534971c27e9202bc497baf5275f
"Wolfe, J.D., Shook, K.R., Spence, C., and Whitfield, C.J. (2019). A watershed classification approach that looks beyond hydrology: application to a semi-arid, agricultural region in Canada. Hydrology and Earth System Sciences, 23(9): 3945-3967. https: doi.org/10.5194/hess-23-3945-2019.",AWF,https://www.semanticscholar.org/paper/8cafeb45bd715981e427300eda5872a26b6a9052
