doi,text
10.1080/07900627.2018.1558050,Abu; R.; Reed; M.G.; and Jardine; T.D. (Accepted). Demonstrating how to bridge science and indigenous knowledge to understand change in the Saskatchewan River Delta. International Journal of Water Resources Development.
10.1016/j.scitotenv.2018.07.410,Alcon; F.; Tapsuwan; S.; Brouwer; R.; Yunes; M.; Mounzer; O. and de-Miguel; M.D. (2019). Modelling farmer choices for water security measures in the Litana river basin in Lebanon. Science	of	the	Total	Environment;	647:	37-46.
10.1002/2016jd026125,Almonte J; Stewart RE. 2019. Precipitation transition regions over the southern Canadian Cordillera during January–April 2010 and under a pseudo-global warming assumption. Hydrol. Earth Syst. Sci. (Conditionally Accepted)
10.1016/j.apenergy.2019.01.147,Amjath-Babua; T.S.; Sharmab; B.; Brouwer; R.; Rasulb; G.; Wahide; S.M.; Neupaneb; N.; Bhattaraif; U. and Sieber; S. (2019). Integrated modelling of the impacts of hydropower projects on the waterfood-energy nexus in a transboundary Himalayan river basin. Applied Energy; 239: 494-503.
10.1016/j.apenergy.2019.01.147,Amjath-Babua; T.S.; Sharmab; B.; Brouwer; R.; Rasulb; G.; Wahide; S.M.; Neupaneb; N.; Bhattaraif; U. and Sieber; S. (2019). Integrated modelling of the impacts of hydropower projects on the waterfood-energy nexus in a transboundary Himalayan river basin. Applied Energy; 239: 494-503.
10.1088/1748-9326/aa9ead,Archibald; S.; C.E.R. Lehmann; C.M. Belcher; W.J. Bond; R.A. Bradstock; A.L. Daniau; K.G. Dexter; E.J. Forrestel; M. Greve; T. He; S.I. Higgins; W.A. Hoffman; B.B. Lamont; D.J. Mcglinn; G.R. Moncreiff; C.P. Osborne; J.G. Pausas; O. Price; B.S. Ripley; B.M. Rogers; D.W. Schwilk; M.F. Simon; M.R. Turetsky; G.R. Van der Werf; A.E Zanne. (2018). Biological and geophysical feedbacks with fire in the Earth System. Environmental Research Letters. 13:
10.1002/gch2.201800095,Asare E; Mantyka-Pringle C; Anderson; E; Belcher K; & Clark R. Quantifying Ecosystem Services for Agricultural Wetlands: A Global Review. Forthcoming.
10.5194/hess-22-3105-2018,Asong; Z. E.; Wheater; H. S.; Bonsal; B.; Razavi; S.; & Kurkute; S.; (2018); Historical drought patterns over Canada and their relation to teleconnections; Hydrology and Earth System Sciences; 22(6); 3105-3124.
10.1016/j.envsci.2019.06.014,Aziz T. and Van Cappellen; P. (2019). Comparative valuation of potential and realized ecosystem services in southern Ontario; Canada. Environmental Science and Policy. (Submitted and Under Review). i. Data will be published and a DOI assigned when the article is published.
10.1002/ecs2.2472,Barber; Q. E.; Parisien; M. A.; Whitman; E.; Stralberg; D.; Johnson; C. J.; St�Laurent; M. H.; ... & Flannigan; M. D. (2018). Potential impacts of climate change on the habitat of boreal woodland caribou. Ecosphere; 9(10); e02472. doi
10.1139/er-2018-0101,Baulch; H.; J. Elliott; H. Wilson; M. Cordeiro; D. Lobb and D. Flaten. 2019 (in press). Soil and water management practices for agricultural nutrient mitigation in the Northern Great Plains. Environmental Reviews.
10.1139/er-2018-0101,Baulch; H.M.; Elliott; J.A.; Cordeiro; D.N.; Lobb; D.A.; Wilson; H.F. In press. Soil and water management practices: opportunities to mitigate nutrient losses to surface waters in the Northern Great Plains. Environmental Reviews.
10.1139/er-2018-0101,Baulch; H.M.; Elliott; J.A.; Cordeiro; D.N.; Lobb; D.A.; Wilson; H.F.; in press (2019). Soil and water management practices: opportunities to mitigate nutrient losses to surface waters in the Northern Great Plains. Environmental Reviews.
10.1175/JHM-D-18-0233.1,Ben Alaya; M. A.; F. W. Zwiers and X. Zhang; 2019b: Evaluation and comparison of CanRCM4 and CRCM5 to estimate probable maximum precipitation over North America. Submitted; Journal of Hydrometeorology.
10.1175/JHM-D-17-0110.1,Ben Alaya; M. A.; F. W. Zwiers; and X. Zhang; 2019a: Probable maximum precipitation in a warming climate over North America in CanRCM4 and CRCM5. Submitted; Climatic Change (in revision).
,Ben Alaya; M.A.; F.W. Zwiers and X. Zhang; 2019c: Should we expect extreme value theory to produce reliable estimates of long return period climate extremes. Submitted; Journal of Climate (In revision).
,Berg A. 2018. Monitoring soil moisture in situ and using a variety of satellite sensors. Sino- American Technology and Engineering Workshop. Smart Water Management. Tinjin; China. Presentation and conference paper (11 pages).
10.1109/IGARSS.2018.8517551,Berg; A.; Krafczek; M.; Clewley; D.; Whitcomb; J.; Akbar; R.; Moghaddam; M.; & McNarin; H. (2018; July). Contributions of Geophysical and C-Band SAR Data for Estimation of Field Scale Soil Moisture. In IGARSS 2018-2018 IEEE International Geoscience and Remote Sensing Symposium (pp. 6127-6130). IEEE.
,Bergstedt; H.; A. Bartsch; C. Duguay; B.M. Jones; and C.D. Arp. Influence of surface water on coarse resolution C-band backscatter: Implications for freeze/thaw retrieval from scatterometer data. Remote Sensing of Environment. In review.
10.1088/1748-9326/aaeaeb,Besnard S.; Carvalhais; N.; Arain; M.A.; Black; A.; Bruin; S.D. Buchmann; N.; Cescatti; A.; Chen; J.; Clevers; J.G.P.W.; Desai; A.R.; Gough; C.M.; Havrankova; K.; Herold; M.; Hörtnagl; L.; Jung; M.; Knohl; A.; Kruijt; B.; Krupkova; L.; Law; B.E.; Lindroth; A.; Noormets; A.; Roupsard; O.; Steinbrecher; R.; Varlagin; A.; Vincke; C.; & Reichstein; M. (2018). Quantifying the effect of forest age in annual net forest carbon balance. Environmental Research Letters; 13; 124018.
10.1088/1748-9326/aaeaeb,Besnard S.; Carvalhais; N.; Arain; M.A.; Black; A.; Bruin; S.D. Buchmann; N.; Cescatti; A.; Chen; J.; Clevers; J.G.P.W.; Desai; A.R.; Gough; C.M.; Havrankova; K.; Herold; M.; Hörtnagl; L.; Jung; M.; Knohl; A.; Kruijt; B.; Krupkova; L.; Law; B.E.; Lindroth; A.; Noormets; A.; Roupsard; O.; Steinbrecher; R.; Varlagin; A.; Vincke; C.; & Reichstein; M. (2018). Quantifying the effect of forest age in annual net forest carbon balance. Environmental Research Letters; 13; 124018.
10.1016/j.scitotenv.2018.10.341,Biagi; K. M.; Oswald; C. J.; Nicholls; E. M.; & Carey; S. K. (2019). Increases in salinity following a shift in hydrologic regime in a constructed wetland watershed in a post-mining oil sands landscape. Science of The Total Environment; 653; 1445-1457.
10.1016/j.scitotenv.2018.10.341,Biagi; K. M.; Oswald; C. J.; Nicholls; E. M.; & Carey; S. K. (2019). Increases in salinity following a shift in hydrologic regime in a constructed wetland watershed in a post-mining oil sands landscape. Science of The Total Environment; 653; 1445-1457.
,Black; KE and Baltzer; JL. Seasonal thaw and landscape position determine tall shrub function on the low arctic tundra. New Phytologist; in review.
10.1029/2017WR021876,Bocaniov; S.; and Scavia; D. (2018). Nutrient loss rates in relation to transport time scales in a large shallow lake (Lake St. Clair; USA–Canada): Insights from a three dimensional model. Water Resources Research 54: 3825-3840.
10.1029/2019WR025019,Bocaniov; S.; Van Cappellen; P.; and Scavia; D. (2019). On the role of a large shallow lake (Lake St. Clair; USA-Canada) in modulating phosphorus loads to Lake Erie. Water Resources Research (in review; manuscript ID: 2019WR025019).
10.1139/facets-2017-0124,Bradford; L.E.A.; Vogel; T.; Lindenschmidt; K-E; McPhedran; K.; Strickert; G.E.H.; Fonstad; T.A.; and Bharadwaj; L.A. (2018) Co-design of water services and infrastructure for Indigenous Canada: A scoping review. FACETS.
10.3389/fenvs.2018.00129,Breen; S-P W.; Loring; P.A.; and Baulch; H.B. (2018) When a water problem is more than a water problem: Fragmentation; framing; and the case of agricultural wetland drainage. Frontiers in Environmental Science. 6:18.
10.3389/fenvs.2018.00129,Breen; S-P.; Loring; P.A.; Baulch; H. (2018). When a Water Problem Is More Than a Water Problem: Fragmentation; Framing; and the Case of Agricultural Wetland Drainage. Front. Environ. Sci.; 30 October 2018.
10.1093/erae/jby043,Brouwer; R. and Neverre; N. (2018). A global meta-analysis of groundwater quality valuation studies. European Review of Agricultural Economics.
10.1016/j.ecolind.2018.01.041,Brouwer; R.; Miraldo Ordens; C.; Pinto; R. and Condesso de Melo; M.T. (2018) Economic valuation of groundwater protection using a groundwater quality ladder based on chemical threshold levels. Ecological Indicators; 88: 292-304.
10.1016/j.ecolind.2018.01.041,Brouwer; R.; Miraldo Ordens; C.; Pinto; R. and Condesso de Melo; M.T. (2018) Economic valuation of groundwater protection using a groundwater quality ladder based on chemical threshold	levels.	Ecological	Indicators;	88:	292-304.
10.1029/2018JD028754,Cai; X.; Wang; X.; Jain; P.; & Flannigan; M. D. (2019). Evaluation of gridded precipitation data and interpolation methods for forest fire danger rating in Alberta; Canada. Journal of Geophysical Research: Atmospheres; 124(1); 3-17.
10.3390/f9040159,Campos-Ruiz; R.; Parisien; M. A.; & Flannigan; M. (2018). Temporal patterns of wildfire activity in areas of contrasting human influence in the Canadian boreal forest. Forests; 9(4); 159.
10.1016/j.foreco.2017.12.024,Chan; F.C.C. Arain; M.A. Khomik; M. Brodeur; J.J. Peichl; M. Restrepo-Coupe; N. Thorne; R. Beamesderfer; E. McKenzie; S. Xu; B. Croft; H.; Pejam M.; Trant J.; Kula M.; & Skubel R.; (2018). Carbon; water and energy exchange dynamics of a young pine plantation forest during the initial fourteen years of growth. Forest Ecology and Management; 410; 12–26.
10.1016/j.foreco.2017.12.024,Chan; F.C.C. Arain; M.A. Khomik; M. Brodeur; J.J. Peichl; M. Restrepo-Coupe; N. Thorne; R. Beamesderfer; E. McKenzie; S. Xu; B. Croft; H.; Pejam M.; Trant J.; Kula M.; & Skubel R.; (2018). Carbon; water and energy exchange dynamics of a young pine plantation forest during the initial fourteen years of growth. Forest Ecology and Management; 410; 12–26.
10.1002/eco.1987,Chasmer; L. E.; Devito; K. J.; Hopkinson; C. D.; & Petrone; R. M. (2018). Remote sensing of ecosystem trajectories as a proxy indicator for watershed water balance. Ecohydrology; 11(7); e1987.
